crop_id,subset,image,box_index,original_class,orig_x1,orig_y1,orig_x2,orig_y2,confirmed,reviewer_class,redraw_x1y1x2y2,comment
Image__2024-05-28__12-41-32__b0,test_2,Image__2024-05-28__12-41-32.jpg,0,defect,128,128,230,237,1,defect,,
Image__2024-05-28__12-41-32__b1,test_2,Image__2024-05-28__12-41-32.jpg,1,defect,128,128,225,216,1,defect,,
20250509T112305Z_014818_241_mid_raw__b0,test_3,20250509T112305Z_014818_241_mid_raw.jpg,0,particle,128,128,211,210,1,defect,,
20250512T121658Z_005919_017_top_raw__b0,test_3,20250512T121658Z_005919_017_top_raw.jpg,0,particle,99,128,168,196,1,particle,,
20250512T153435Z_003937_213_bot_raw__b0,test_3,20250512T153435Z_003937_213_bot_raw.jpg,0,particle,128,128,204,203,1,particle,,
20250512T153435Z_003937_213_bot_raw__b1,test_3,20250512T153435Z_003937_213_bot_raw.jpg,1,particle,128,128,198,199,1,particle,,
20250512T153435Z_003937_213_bot_raw__b2,test_3,20250512T153435Z_003937_213_bot_raw.jpg,2,particle,128,128,197,200,1,particle,,
Image__2023-06-27__13-44-15__b0,train,Image__2023-06-27__13-44-15.jpg,0,defect,128,128,253,253,1,defect,,
20250509T105341Z_006196_179_top_raw__b0,test_3,20250509T105341Z_006196_179_top_raw.jpg,0,particle,128,128,201,198,1,particle,,
Image_20230502113756023__b0,test_1,Image_20230502113756023.jpg,0,particle,128,128,202,196,1,particle,,
Image_20230502113756023__b1,test_1,Image_20230502113756023.jpg,1,particle,128,128,191,190,1,particle,,
Image_20230502113756023__b2,test_1,Image_20230502113756023.jpg,2,particle,128,128,196,192,1,particle,,
Image_20230502113756023__b3,test_1,Image_20230502113756023.jpg,3,particle,128,128,203,198,1,particle,,
Image_20230502113756023__b4,test_1,Image_20230502113756023.jpg,4,particle,128,128,204,201,1,particle,,
Image_20230502113756023__b5,test_1,Image_20230502113756023.jpg,5,particle,128,128,198,196,1,particle,,
Image_20230502113756023__b6,test_1,Image_20230502113756023.jpg,6,particle,128,128,197,194,1,particle,,
Image__2025-03-11__12-54-43__b0,train,Image__2025-03-11__12-54-43.jpg,0,particle,128,0,199,57,1,particle,,
Image__2025-03-11__12-54-43__b1,train,Image__2025-03-11__12-54-43.jpg,1,particle,128,128,201,200,1,particle,,
Image__2025-03-11__12-54-43__b2,train,Image__2025-03-11__12-54-43.jpg,2,particle,128,128,196,196,1,particle,,
Image__2025-03-11__12-54-43__b3,train,Image__2025-03-11__12-54-43.jpg,3,particle,128,37,208,113,1,particle,,
Image__2025-03-11__12-54-43__b4,train,Image__2025-03-11__12-54-43.jpg,4,particle,128,128,197,181,1,particle,,
Image__2025-03-11__12-14-07__b0,train,Image__2025-03-11__12-14-07.jpg,0,particle,128,128,165,191,1,particle,,
Image__2025-03-11__12-14-07__b1,train,Image__2025-03-11__12-14-07.jpg,1,particle,128,128,210,213,1,particle,,
Image__2025-03-11__12-14-07__b2,train,Image__2025-03-11__12-14-07.jpg,2,particle,128,128,197,200,1,particle,,
Image__2025-03-11__12-14-07__b3,train,Image__2025-03-11__12-14-07.jpg,3,particle,128,128,203,190,1,particle,,
20250512T122040Z_004207_056_top_raw__b0,test_3,20250512T122040Z_004207_056_top_raw.jpg,0,particle,128,128,173,203,1,particle,,
Image__2023-06-05__17-57-01__b0,train,Image__2023-06-05__17-57-01.jpg,0,defect,128,128,221,245,1,defect,,
20250512T152341Z_005093_185_bot_raw__b0,test_3,20250512T152341Z_005093_185_bot_raw.jpg,0,particle,128,128,170,204,1,particle,,
20250509T104345Z_007731_126_mid_raw__b0,test_3,20250509T104345Z_007731_126_mid_raw.jpg,0,particle,128,128,212,209,1,particle,,
Image__2023-06-07__13-26-15__b0,train,Image__2023-06-07__13-26-15.jpg,0,defect,128,128,234,215,1,defect,,
Image__2024-05-28__12-03-41__b0,test_2,Image__2024-05-28__12-03-41.jpg,0,defect,128,128,221,225,1,defect,,
